season,game_date,Team,opponent,Result,point_differential,Pre_Elo_Team,Pre_Elo_Opponent,Post_Elo_Team,Post_Elo_Opponent,Elo_Change
2021,2021-09-04,New Mexico State,San Diego State,L,-18,1500.0,1500.0,1452.888976333337,1547.111023666663,-47.111023666663044
2021,2021-09-04,UCLA,LSU,W,11,1500.0,1500.0,1539.758506396608,1460.241493603392,39.758506396608006
2021,2021-09-04,Illinois,UTSA,L,-7,1500.0,1500.0,1466.7289353331225,1533.2710646668775,-33.27106466687737
2021,2021-09-04,San Jose State,USC,L,-23,1500.0,1500.0,1452.0,1548.0,-48.0
2021,2021-09-04,Fresno State,Oregon,L,-7,1500.0,1500.0,1466.7289353331225,1533.2710646668775,-33.27106466687737
2021,2021-09-10,Boise State,UTEP,W,41,1500.0,1500.0,1548.0,1452.0,48.0
2021,2021-09-10,UTEP,Boise State,L,-41,1452.0,1548.0,1416.9353601650223,1583.0646398349777,-35.06463983497759
2021,2021-09-10,Coastal Carolina,Kansas,W,27,1500.0,1500.0,1548.0,1452.0,48.0
2021,2021-09-10,Kansas,Coastal Carolina,L,-27,1452.0,1548.0,1416.9353601650223,1583.0646398349777,-35.06463983497759
2021,2021-09-11,Eastern Michigan,Wisconsin,L,-27,1452.0,1548.0,1416.9353601650223,1583.0646398349777,-35.06463983497759
2021,2021-09-11,Georgia Southern,Florida Atlantic,L,-32,1452.0,1548.0,1416.9353601650223,1583.0646398349777,-35.06463983497759
2021,2021-09-11,California,TCU,L,-2,1482.4222033813103,1517.5777966186897,1467.2241425363607,1532.7758574636393,-15.19806084494966
2021,2021-09-11,Colorado,Texas A&M,L,-3,1477.8192902220817,1522.1807097779183,1459.384678492522,1540.615321507478,-18.43461172955966
2021,2021-09-11,Army,Western Kentucky,W,3,1522.1807097779183,1477.8192902220817,1540.615321507478,1459.384678492522,18.43461172955966
2021,2021-09-11,Colorado State,Vanderbilt,L,-3,1477.8192902220817,1522.1807097779183,1459.384678492522,1540.615321507478,-18.43461172955966
2021,2021-09-11,East Carolina,South Carolina,L,-3,1500.0,1500.0,1477.8192902220817,1522.1807097779183,-22.18070977791825
2021,2021-09-11,Florida,South Florida,W,22,1548.0,1452.0,1581.0435718373858,1418.9564281626142,33.04357183738585
2021,2021-09-11,Mississippi State,NC State,W,14,1500.0,1500.0,1543.3288032176354,1456.6711967823646,43.32880321763536
2021,2021-09-11,Florida International,Texas State,L,-6,1468.865437615115,1531.134562384885,1444.9446220036866,1555.0553779963134,-23.920815611428566
2021,2021-09-11,Georgia,UAB,W,49,1548.0,1452.0,1583.0646398349777,1416.9353601650223,35.0646398349776
2021,2021-09-11,Houston,Rice,W,37,1500.0,1500.0,1548.0,1452.0,48.0
2021,2021-09-11,Missouri,Kentucky,L,-7,1466.7289353331225,1533.2710646668775,1441.6496740128541,1558.3503259871459,-25.079261320268305
2021,2021-09-11,Iowa,Iowa State,W,10,1538.3663243647738,1461.6336756352262,1565.9860748822791,1434.0139251177209,27.61975051750519
2021,2021-09-11,Iowa State,Iowa,L,-10,1500.0,1500.0,1461.6336756352262,1538.3663243647738,-38.36632436477393
2021,2021-09-11,Kentucky,Missouri,W,7,1500.0,1500.0,1533.2710646668775,1466.7289353331225,33.27106466687737
2021,2021-09-11,Liberty,Troy,W,8,1535.1555932373794,1464.8444067626206,1561.210480424408,1438.789519575592,26.05488718702856
2021,2021-09-11,Florida Atlantic,Georgia Southern,W,32,1500.0,1500.0,1548.0,1452.0,48.0
2021,2021-09-11,Georgia State,North Carolina,L,-42,1500.0,1500.0,1452.0,1548.0,-48.0
2021,2021-09-11,Navy,Air Force,L,-20,1452.0,1548.0,1419.9151390647246,1580.0848609352754,-32.08486093527535
2021,2021-09-11,South Carolina,East Carolina,W,3,1522.1807097779183,1477.8192902220817,1540.615321507478,1459.384678492522,18.43461172955966
2021,2021-09-11,North Carolina,Georgia State,W,42,1548.0,1452.0,1583.0646398349777,1416.9353601650223,35.0646398349776
2021,2021-09-11,North Texas,SMU,L,-23,1452.0,1548.0,1418.5079114122805,1581.4920885877195,-33.49208858771963
2021,2021-09-11,Penn State,Ball State,W,31,1548.0,1452.0,1583.0646398349777,1416.9353601650223,35.0646398349776
2021,2021-09-11,Northern Illinois,Wyoming,L,-7,1466.7289353331225,1533.2710646668775,1441.6496740128541,1558.3503259871459,-25.079261320268305
2021,2021-09-11,Oregon State,Hawai'i,W,18,1547.111023666663,1452.888976333337,1578.4000093926222,1421.5999906073778,31.28898572595918
2021,2021-09-11,Oklahoma State,Tulsa,W,5,1528.6681515076489,1471.3318484923511,1551.1809465249607,1448.8190534750393,22.512795017311777
2021,2021-09-11,Ohio State,Oregon,L,-7,1471.0016981197698,1562.2693665471077,1448.598466327988,1584.6725983388894,-22.403231791781735
2021,2021-09-11,Notre Dame,Toledo,W,3,1522.1807097779183,1477.8192902220817,1540.615321507478,1459.384678492522,18.43461172955966
2021,2021-09-11,Oregon,Ohio State,W,7,1533.2710646668775,1500.0,1562.2693665471077,1471.0016981197698,28.99830188023016
2021,2021-09-11,BYU,Utah,W,9,1536.8413614879048,1463.1586385120952,1563.7329781018525,1436.2670218981475,26.891616613947622
2021,2021-09-11,Pittsburgh,Tennessee,W,7,1533.2710646668775,1466.7289353331225,1558.3503259871459,1441.6496740128541,25.0792613202683
2021,2021-09-11,Rice,Houston,L,-37,1452.0,1548.0,1416.9353601650223,1583.0646398349777,-35.06463983497759
2021,2021-09-11,Rutgers,Syracuse,W,10,1538.3663243647738,1461.6336756352262,1565.9860748822791,1434.0139251177209,27.61975051750519
