"week","season","Team","opponent","code","date","win_loss","OT","OT_num","pass","rush","rec","points_allowed","points_scored","point_differential","home_game","CONF","SOR","FPI","SOS","GC","AVGWP","AP_rank","opponent_rank","rank_change","ranked_opponent"
11,2023,"Washington","Utah",264,"Sat, Nov 11",1,0,0,332,104,111,28,35,7,1,"Pac-12",2,12,1,3,8,5,13,0,TRUE
11,2024,"Alabama","LSU",333,"Sat, Nov 9",1,0,0,109,185,50,13,42,29,0,"SEC",17,4,20,7,12,11,14,-4,TRUE
11,2024,"Georgia","Ole Miss",61,"Sat, Nov 9",0,0,0,186,47,41,28,10,-18,0,"SEC",4,7,1,12,46,2,16,0,TRUE
11,2024,"LSU","Alabama",99,"Sat, Nov 9",0,0,0,239,63,79,42,13,-29,1,"SEC",10,18,14,15,34,14,11,7,TRUE
11,2024,"Ole Miss","Georgia",145,"Sat, Nov 9",1,0,0,199,50,81,10,28,18,1,"SEC",13,5,37,3,2,16,2,-2,TRUE
11,2024,"Pittsburgh","Clemson",221,"Sat, Nov 16",0,0,0,350,68,108,24,20,-4,1,"ACC",54,56,57,66,78,23,19,6,TRUE
11,2024,"SMU","Pittsburgh",2567,"Sat, Nov 2",1,0,0,306,161,108,25,48,23,1,"ACC",18,13,41,18,16,13,23,-7,TRUE
12,2021,"Alabama","Arkansas",333,"Sat, Nov 20",1,0,0,559,122,190,35,42,7,1,"SEC",2,2,1,2,3,2,21,-1,TRUE
12,2021,"Arkansas","Alabama",8,"Sat, Nov 20",0,0,0,326,42,179,42,35,-7,0,"SEC",14,21,2,20,41,21,2,-5,TRUE
12,2021,"Michigan State","Ohio State",127,"Sat, Nov 20",0,0,0,158,29,46,56,7,-49,0,"Big Ten",5,19,13,19,39,7,5,-1,TRUE
12,2021,"Ohio State","Michigan State",194,"Sat, Nov 20",1,0,0,432,95,140,7,56,49,1,"Big Ten",8,3,27,4,8,5,7,-1,TRUE
12,2021,"Utah","Oregon",254,"Sat, Nov 20",1,0,0,178,94,118,7,38,31,1,"Pac-12",27,11,47,17,18,24,4,-2,TRUE
12,2022,"Oregon","Utah",2483,"Sat, Nov 19",1,0,0,287,53,151,17,20,3,1,"Pac-12",13,14,23,11,12,12,10,6,TRUE
12,2022,"Oregon State","Oregon",204,"Sat, Nov 26",1,0,0,60,103,23,34,38,4,1,"Pac-12",17,19,52,16,21,25,12,-1,TRUE
12,2022,"UCLA","USC",26,"Sat, Nov 19",0,0,0,309,95,76,48,45,-3,1,"Pac-12",29,27,64,28,17,16,7,7,TRUE
12,2022,"USC","UCLA",30,"Sat, Nov 19",1,0,0,470,120,178,45,48,3,0,"Pac-12",11,16,35,6,7,7,16,-1,TRUE
12,2023,"Arizona","Utah",12,"Sat, Nov 18",1,0,0,253,90,116,18,42,24,1,"Pac-12",16,20,57,23,30,19,16,-4,TRUE
12,2023,"Georgia","Tennessee",61,"Sat, Nov 18",1,0,0,298,66,91,10,38,28,0,"SEC",3,2,23,2,3,1,21,0,TRUE
12,2023,"Oregon State","Washington",204,"Sat, Nov 18",0,0,0,164,123,64,22,20,-2,1,"Pac-12",31,21,25,20,34,10,5,-2,TRUE
12,2023,"Tennessee","Georgia",2633,"Sat, Nov 18",0,0,0,147,90,45,38,10,-28,1,"SEC",18,16,18,14,18,21,1,7,TRUE
12,2023,"Utah","Arizona",254,"Sat, Nov 18",0,0,0,320,47,111,42,18,-24,0,"Pac-12",28,25,29,37,62,16,19,3,TRUE
12,2023,"Washington","Oregon State",264,"Sat, Nov 18",1,0,0,162,89,106,20,22,2,0,"Pac-12",2,12,1,3,8,5,10,0,TRUE
12,2024,"Georgia","Tennessee",61,"Sat, Nov 16",1,0,0,347,68,63,17,31,14,1,"SEC",4,7,1,12,46,11,6,9,TRUE
12,2024,"Missouri","South Carolina",142,"Sat, Nov 16",0,0,0,237,150,85,34,30,-4,0,"SEC",12,20,34,39,54,24,23,-2,TRUE
12,2024,"South Carolina","Missouri",2579,"Sat, Nov 16",1,0,0,353,53,86,30,34,4,1,"SEC",19,15,21,9,19,23,24,-3,TRUE
12,2024,"Tennessee","Georgia",2633,"Sat, Nov 16",0,0,0,167,101,46,31,17,-14,0,"SEC",9,9,16,11,15,6,11,-1,TRUE
13,2021,"Michigan","Ohio State",130,"Sat, Nov 27",1,0,0,159,169,55,27,42,15,1,"Big Ten",3,4,5,3,4,6,2,-2,TRUE
13,2021,"Ohio State","Michigan",194,"Sat, Nov 27",0,0,0,394,74,127,42,27,-15,0,"Big Ten",8,3,27,4,8,2,6,-3,TRUE
13,2021,"Oklahoma","Oklahoma State",201,"Sat, Nov 27",0,0,0,252,139,76,37,33,-4,0,"Big 12",9,5,40,16,20,10,7,-2,TRUE
13,2021,"Oklahoma State","Oklahoma",197,"Sat, Nov 27",1,0,0,214,93,89,33,37,4,1,"Big 12",4,7,18,10,23,7,10,-2,TRUE
13,2021,"Oregon","Utah",2483,"Fri, Dec 3",0,0,0,147,82,51,38,10,-28,1,"Pac-12",20,30,8,23,37,11,16,7,TRUE
13,2022,"Cincinnati","Tulane",2132,"Fri, Nov 25",0,0,0,102,95,41,27,24,-3,1,"American",39,40,82,40,29,21,19,-1,TRUE
13,2022,"Michigan","Ohio State",130,"Sat, Nov 26",1,0,0,263,216,160,23,45,22,0,"Big Ten",3,4,28,7,3,3,2,0,TRUE
13,2022,"Notre Dame","USC",87,"Sat, Nov 26",0,0,0,318,43,98,38,27,-11,0,"FBS Indep.",20,17,33,18,24,13,5,-5,TRUE
13,2022,"Ohio State","Michigan",194,"Sat, Nov 26",0,0,0,349,83,125,45,23,-22,1,"Big Ten",6,3,15,2,2,2,3,0,TRUE
13,2022,"Oregon","Oregon State",2483,"Sat, Nov 26",0,0,0,327,81,136,38,34,-4,0,"Pac-12",13,14,23,11,12,10,22,-2,TRUE
13,2022,"Tulane","Cincinnati",2655,"Fri, Nov 25",1,0,0,162,181,62,24,27,3,0,"American",10,25,65,23,11,19,21,-2,TRUE
13,2022,"UCF","Tulane",2116,"Sat, Dec 3",0,0,0,209,85,98,45,28,-17,0,"American",45,37,72,49,44,25,19,8,TRUE
13,2022,"USC","Notre Dame",30,"Sat, Nov 26",1,0,0,232,154,45,27,38,11,1,"Pac-12",11,16,35,6,7,5,13,-2,TRUE
13,2022,"Utah","USC",254,"Fri, Dec 2",1,0,0,310,105,88,24,47,23,1,"Pac-12",19,8,41,19,25,14,5,4,TRUE
13,2022,"Washington","Texas",264,"Thu, Dec 29",1,0,0,287,108,58,20,27,7,1,"Pac-12",9,20,60,14,9,12,24,-3,TRUE
13,2023,"Michigan","Ohio State",130,"Sat, Nov 25",1,0,0,148,88,88,24,30,6,1,"Big Ten",1,1,7,1,1,3,2,1,TRUE
13,2023,"Ohio State","Michigan",194,"Sat, Nov 25",0,0,0,271,60,118,30,24,-6,0,"Big Ten",7,3,5,6,7,2,3,-1,TRUE
13,2023,"Oklahoma State","Texas",197,"Sat, Dec 2",0,0,0,250,34,93,49,21,-28,1,"Big 12",17,39,26,51,80,21,7,-3,TRUE
13,2023,"Oregon","Oregon State",2483,"Fri, Nov 24",1,0,0,367,43,137,7,31,24,1,"Pac-12",10,4,52,5,2,6,15,0,TRUE
13,2023,"Oregon State","Oregon",204,"Fri, Nov 24",0,0,0,220,38,85,31,7,-24,0,"Pac-12",31,21,25,20,34,15,6,5,TRUE
13,2024,"Arizona State","BYU",9,"Sat, Nov 23",1,0,0,247,147,125,23,28,5,1,"Big 12",14,21,39,19,24,21,14,-5,TRUE
13,2024,"Army","Notre Dame",349,"Sat, Nov 23",0,0,0,26,145,11,49,14,-35,1,"American",27,50,89,25,4,18,6,0,TRUE
13,2024,"BYU","Arizona State",252,"Sat, Nov 23",0,0,0,346,42,108,28,23,-5,0,"Big 12",7,25,44,14,14,14,21,7,TRUE
13,2024,"Indiana","Ohio State",84,"Sat, Nov 23",0,0,0,68,79,40,38,15,-23,0,"Big Ten",8,10,35,6,6,5,2,-3,TRUE
13,2024,"Notre Dame","Army",87,"Sat, Nov 23",1,0,0,148,130,46,14,49,35,1,"FBS Indep.",3,3,4,4,5,6,18,-2,TRUE
13,2024,"Ohio State","Indiana",194,"Sat, Nov 23",1,0,0,201,68,80,15,38,23,1,"Big Ten",1,1,2,1,1,2,5,0,TRUE
14,2021,"Alabama","Georgia",333,"Sat, Dec 4",1,0,0,421,55,184,24,41,17,1,"SEC",2,2,1,2,3,4,1,1,TRUE
14,2021,"Baylor","Oklahoma State",239,"Sat, Dec 4",1,0,0,180,63,71,16,21,5,1,"Big 12",7,15,25,6,7,9,5,0,TRUE
14,2021,"Cincinnati","Houston",2132,"Sat, Dec 4",1,0,0,190,187,65,20,35,15,1,"American",6,10,54,5,2,3,16,-1,TRUE
14,2021,"Georgia","Alabama",61,"Sat, Dec 4",0,0,0,340,38,139,41,24,-17,1,"SEC",1,1,3,1,1,1,4,0,TRUE
14,2021,"Houston","Cincinnati",248,"Sat, Dec 4",0,0,0,250,39,152,35,20,-15,0,"American",17,37,78,27,10,16,3,-1,TRUE
14,2021,"Iowa","Michigan",2294,"Sat, Dec 4",0,0,0,137,56,62,42,3,-39,1,"Big Ten",16,32,23,33,54,15,2,-2,TRUE
14,2021,"Kentucky","Iowa",96,"Sat, Jan 1",1,0,0,233,107,170,17,20,3,1,"SEC",19,28,32,15,15,25,15,-1,TRUE
14,2021,"Michigan","Iowa",130,"Sat, Dec 4",1,0,0,169,74,82,3,42,39,1,"Big Ten",3,4,5,3,4,2,15,-4,TRUE
14,2021,"Michigan State","Pittsburgh",127,"Thu, Dec 30",1,0,0,354,23,108,21,31,10,1,"Big Ten",5,19,13,19,39,11,17,-1,TRUE
14,2021,"NC State","Pittsburgh",154,"Sat, Dec 4",0,0,0,213,34,83,45,21,-24,1,"ACC",23,16,63,26,30,21,17,-3,TRUE
14,2021,"Notre Dame","Oklahoma State",87,"Sat, Jan 1",0,0,0,509,29,136,37,35,-2,1,"FBS Indep.",10,6,43,9,11,6,5,1,TRUE
14,2021,"Ohio State","Utah",194,"Sat, Jan 1",1,0,0,573,83,347,45,48,3,1,"Big Ten",8,3,27,4,8,7,14,5,TRUE
14,2021,"Oklahoma","Oregon",201,"Wed, Dec 29",1,0,0,242,142,64,32,47,15,1,"Big 12",9,5,40,16,20,13,10,3,TRUE
14,2021,"Oklahoma State","Baylor",197,"Sat, Dec 4",0,0,0,257,33,88,21,16,-5,1,"Big 12",4,7,18,10,23,5,9,-2,TRUE
14,2021,"Ole Miss","Baylor",145,"Sat, Jan 1",0,0,0,174,65,104,21,7,-14,1,"SEC",12,18,19,8,16,8,9,0,TRUE
14,2021,"Oregon","Oklahoma",2483,"Wed, Dec 29",0,0,0,306,153,90,47,32,-15,1,"Pac-12",20,30,8,23,37,10,13,-1,TRUE
14,2021,"Pittsburgh","Wake Forest",221,"Sat, Dec 4",1,0,0,253,55,126,21,45,24,1,"ACC",21,12,57,13,9,17,18,-3,TRUE
14,2021,"Utah","Oregon",254,"Fri, Dec 3",1,0,0,170,63,72,10,38,28,1,"Pac-12",27,11,47,17,18,14,10,-2,TRUE
14,2021,"Wake Forest","Pittsburgh",154,"Sat, Dec 4",0,0,0,213,34,83,45,21,-24,1,"ACC",15,22,45,11,13,18,17,-3,TRUE
14,2022,"Alabama","Kansas State",333,"Sat, Dec 31",1,0,0,321,76,87,20,45,25,1,"SEC",4,2,9,3,4,6,13,-2,TRUE
14,2022,"Clemson","North Carolina",228,"Sat, Dec 3",1,0,0,279,30,101,10,39,29,1,"ACC",14,9,42,15,15,10,24,3,TRUE
14,2022,"Georgia","LSU",61,"Sat, Dec 3",1,0,0,274,113,81,30,50,20,1,"SEC",1,1,8,1,1,1,11,0,TRUE
14,2022,"Kansas State","TCU",2306,"Sat, Dec 3",1,1,1,199,130,48,28,31,3,1,"Big 12",12,12,11,8,14,13,3,-2,TRUE
14,2022,"LSU","Georgia",99,"Sat, Dec 3",0,0,0,294,55,128,50,30,-20,1,"SEC",8,10,2,27,58,11,1,5,TRUE
14,2022,"Notre Dame","South Carolina",87,"Fri, Dec 30",1,0,0,273,95,89,38,45,7,1,"FBS Indep.",20,17,33,18,24,19,20,6,TRUE
14,2022,"Ohio State","Georgia",194,"Sat, Dec 31",0,0,0,348,43,112,42,41,-1,1,"Big Ten",6,3,15,2,2,5,1,3,TRUE
14,2022,"Oregon","North Carolina",2483,"Wed, Dec 28",1,0,0,205,149,84,27,28,1,1,"Pac-12",13,14,23,11,12,15,24,5,TRUE
14,2022,"Penn State","Utah",213,"Mon, Jan 2",1,0,0,279,120,124,21,35,14,1,"Big Ten",7,6,20,5,5,8,12,-3,TRUE
14,2022,"South Carolina","Notre Dame",2579,"Fri, Dec 30",0,0,0,246,28,78,45,38,-7,1,"SEC",23,49,13,34,61,20,19,-6,TRUE
14,2022,"TCU","Kansas State",2628,"Sat, Dec 3",0,1,1,251,110,139,31,28,-3,1,"Big 12",2,13,4,13,30,3,13,-1,TRUE
14,2022,"Tennessee","Clemson",2633,"Fri, Dec 30",1,0,0,251,89,108,14,31,17,1,"SEC",5,5,7,4,8,7,10,-2,TRUE
14,2022,"Tulane","UCF",2655,"Sat, Dec 3",1,0,0,394,199,134,28,45,17,1,"American",10,25,65,23,11,18,22,-1,TRUE
14,2022,"USC","Utah",30,"Fri, Dec 2",0,0,0,363,35,93,47,24,-23,1,"Pac-12",11,16,35,6,7,4,12,-1,TRUE
14,2022,"Utah","Penn State",254,"Mon, Jan 2",0,0,0,112,81,100,35,21,-14,1,"Pac-12",19,8,41,19,25,12,8,-2,TRUE
14,2023,"Alabama","Georgia",333,"Sat, Dec 2",1,0,0,192,64,79,24,27,3,1,"SEC",4,6,2,7,15,8,1,0,TRUE
14,2023,"Arizona","Oklahoma",12,"Thu, Dec 28",1,0,0,354,27,160,24,38,14,1,"Pac-12",16,20,57,23,30,14,12,-2,TRUE
14,2023,"Florida State","Louisville",52,"Sat, Dec 2",1,0,0,55,118,21,6,16,10,1,"ACC",5,13,36,17,21,4,15,-1,TRUE
14,2023,"Georgia","Alabama",61,"Sat, Dec 2",0,0,0,243,42,53,27,24,-3,1,"SEC",3,2,23,2,3,1,8,0,TRUE
14,2023,"Iowa","Michigan",2294,"Sat, Dec 2",0,0,0,120,25,50,26,0,-26,1,"Big Ten",20,46,19,40,55,18,2,-2,TRUE
14,2023,"Liberty","Oregon",2335,"Mon, Jan 1",0,0,0,126,79,79,45,6,-39,1,"CUSA",15,54,98,26,4,20,5,-2,TRUE
14,2023,"Louisville","Florida State",97,"Sat, Dec 2",0,0,0,111,52,57,16,6,-10,1,"ACC",21,23,47,21,25,15,4,6,TRUE
14,2023,"Michigan","Iowa",130,"Sat, Dec 2",1,0,0,147,52,64,0,26,26,1,"Big Ten",1,1,7,1,1,2,18,-1,TRUE
14,2023,"Missouri","Ohio State",142,"Fri, Dec 29",1,0,0,128,128,50,3,14,11,1,"SEC",8,14,9,8,12,9,6,-1,TRUE
14,2023,"Ohio State","Missouri",194,"Fri, Dec 29",0,0,0,86,72,63,14,3,-11,1,"Big Ten",7,3,5,6,7,6,9,4,TRUE
14,2023,"Oklahoma","Arizona",201,"Thu, Dec 28",0,0,0,361,134,83,38,24,-14,1,"Big 12",14,9,50,10,9,12,14,-2,TRUE
14,2023,"Ole Miss","Penn State",145,"Sat, Dec 30",1,0,0,379,106,136,25,38,13,1,"SEC",6,15,3,12,17,11,10,-1,TRUE
14,2023,"Oregon","Washington",2483,"Fri, Dec 1",0,0,0,239,69,68,34,31,-3,1,"Pac-12",10,4,52,5,2,5,3,-1,TRUE
14,2023,"Oregon State","Notre Dame",204,"Fri, Dec 29",0,0,0,180,15,56,40,8,-32,1,"Pac-12",31,21,25,20,34,21,16,6,TRUE
14,2023,"Penn State","Ole Miss",213,"Sat, Dec 30",0,0,0,295,51,127,38,25,-13,1,"Big Ten",12,5,22,11,13,10,11,-1,TRUE
14,2023,"Texas","Oklahoma State",251,"Sat, Dec 2",1,0,0,452,75,109,21,49,28,1,"Big 12",9,7,12,4,5,7,19,0,TRUE
14,2023,"Washington","Oregon",264,"Fri, Dec 1",1,0,0,319,152,131,31,34,3,1,"Pac-12",2,12,1,3,8,3,5,-1,TRUE
14,2024,"Boise State","UNLV",68,"Fri, Dec 6",1,0,0,158,209,62,7,21,14,1,"Mountain West",16,27,67,22,9,11,21,-1,TRUE
14,2024,"Clemson","South Carolina",228,"Sat, Nov 30",0,0,0,280,66,99,17,14,-3,1,"ACC",25,14,28,10,10,12,16,-5,TRUE
14,2024,"Oregon","Penn State",2483,"Sat, Dec 7",1,0,0,283,87,181,37,45,8,1,"Big Ten",2,8,19,5,7,1,4,0,TRUE
14,2024,"South Carolina","Clemson",2579,"Sat, Nov 30",1,0,0,164,166,51,14,17,3,0,"SEC",19,15,21,9,19,16,12,-7,TRUE
14,2024,"Texas","Texas A&M",251,"Sat, Nov 30",1,0,0,218,186,73,7,17,10,0,"SEC",5,2,6,2,3,3,20,0,TRUE
14,2024,"Texas A&M","Texas",245,"Sat, Nov 30",0,0,0,146,60,40,17,7,-10,1,"SEC",24,16,13,13,26,20,3,5,TRUE
14,2024,"Tulane","Army",2655,"Fri, Dec 6",0,0,0,209,66,109,35,14,-21,0,"American",50,32,81,48,27,18,25,-2,TRUE
15,2021,"Alabama","Cincinnati",333,"Fri, Dec 31",1,0,0,181,204,66,6,27,21,1,"SEC",2,2,1,2,3,1,4,-3,TRUE
15,2021,"Cincinnati","Alabama",2132,"Fri, Dec 31",0,0,0,144,77,55,27,6,-21,1,"American",6,10,54,5,2,4,1,1,TRUE
15,2021,"Georgia","Michigan",61,"Fri, Dec 31",1,0,0,313,54,112,11,34,23,1,"SEC",1,1,3,1,1,3,2,2,TRUE
15,2021,"Michigan","Georgia",130,"Fri, Dec 31",0,0,0,131,39,63,34,11,-23,1,"Big Ten",3,4,5,3,4,2,3,0,TRUE
15,2022,"Michigan","TCU",130,"Sat, Dec 31",0,0,0,343,119,135,51,45,-6,1,"Big Ten",3,4,28,7,3,2,3,0,TRUE
15,2022,"TCU","Michigan",2628,"Sat, Dec 31",1,0,0,225,150,163,45,51,6,1,"Big 12",2,13,4,13,30,3,2,0,TRUE
15,2022,"Troy","UTSA",2653,"Fri, Dec 16",1,0,0,113,73,41,12,18,6,1,"Sun Belt",18,63,92,61,41,23,22,-3,TRUE
15,2022,"Tulane","USC",2655,"Mon, Jan 2",1,0,0,234,205,87,45,46,1,1,"American",10,25,65,23,11,14,8,-4,TRUE
15,2022,"USC","Tulane",30,"Mon, Jan 2",0,0,0,462,61,174,46,45,-1,1,"Pac-12",11,16,35,6,7,8,14,4,TRUE
15,2022,"UTSA","Troy",2636,"Fri, Dec 16",0,0,0,198,132,62,18,12,-6,1,"CUSA",26,59,77,46,19,22,23,-1,TRUE
15,2023,"Alabama","Michigan",333,"Mon, Jan 1",0,1,1,116,87,47,27,20,-7,1,"SEC",4,6,2,7,15,5,1,-3,TRUE
15,2023,"Florida State","Georgia",52,"Sat, Dec 30",0,0,0,139,46,84,63,3,-60,1,"ACC",5,13,36,17,21,4,6,0,TRUE
15,2023,"Georgia","Florida State",61,"Sat, Dec 30",1,0,0,203,104,86,3,63,60,1,"SEC",3,2,23,2,3,6,4,5,TRUE
15,2023,"Michigan","Alabama",130,"Mon, Jan 1",1,1,1,221,83,73,20,27,7,1,"Big Ten",1,1,7,1,1,1,5,-1,TRUE
15,2023,"Texas","Washington",251,"Mon, Jan 1",0,0,0,318,64,75,37,31,-6,1,"Big 12",9,7,12,4,5,3,2,-4,TRUE
15,2023,"Washington","Texas",264,"Mon, Jan 1",1,0,0,430,49,125,31,37,6,1,"Pac-12",2,12,1,3,8,2,3,-1,TRUE
15,2024,"Arizona State","Iowa State",9,"Sat, Dec 7",1,0,0,219,170,91,19,45,26,1,"Big 12",14,21,39,19,24,12,16,-9,TRUE
15,2024,"Boise State","Penn State",68,"Tue, Dec 31",0,0,0,304,104,96,31,14,-17,1,"Mountain West",16,27,67,22,9,10,3,-1,TRUE
15,2024,"BYU","Colorado",252,"Sat, Dec 28",1,0,0,151,88,33,14,36,22,1,"Big 12",7,25,44,14,14,17,20,3,TRUE
15,2024,"Clemson","SMU",228,"Sat, Dec 7",1,0,0,262,28,143,31,34,3,1,"ACC",25,14,28,10,10,18,8,6,TRUE
15,2024,"Colorado","BYU",38,"Sat, Dec 28",0,0,0,208,25,106,36,14,-22,1,"Big 12",30,23,65,44,50,20,17,4,TRUE
15,2024,"Georgia","Texas",61,"Sat, Dec 7",1,1,1,71,94,41,19,22,3,1,"SEC",4,7,1,12,46,5,2,-1,TRUE
15,2024,"Illinois","South Carolina",356,"Tue, Dec 31",1,0,0,174,114,90,17,21,4,1,"Big Ten",11,42,30,34,36,21,13,-1,TRUE
15,2024,"Indiana","Notre Dame",84,"Fri, Dec 20",0,0,0,215,37,67,27,17,-10,0,"Big Ten",8,10,35,6,6,9,4,-1,TRUE
15,2024,"Iowa State","Arizona State",66,"Sat, Dec 7",0,0,0,214,52,115,45,19,-26,1,"Big 12",15,26,42,49,61,16,12,-1,TRUE
15,2024,"Miami","Iowa State",2390,"Sat, Dec 28",0,0,0,190,179,64,42,41,-1,1,"ACC",21,11,56,20,22,14,16,3,TRUE
15,2024,"Notre Dame","Indiana",87,"Fri, Dec 20",1,0,0,201,108,89,17,27,10,1,"FBS Indep.",3,3,4,4,5,4,9,-1,TRUE
