season,game_date,Team,opponent,Result,point_differential,Team_Elo_Rating
2021,2021-11-20,Oklahoma,Iowa State,W,7,1729.7802504804326
2021,2021-11-20,Oklahoma State,Texas Tech,W,23,1792.3128468096604
2021,2021-11-20,Old Dominion,Middle Tennessee,W,7,1497.7772667325999
2021,2021-11-20,Ole Miss,Vanderbilt,W,14,1734.3252677781775
2021,2021-11-20,Oregon,Utah,L,-31,1690.90321026502
2021,2021-11-20,Oregon State,Arizona State,W,14,1646.3700660739719
2021,2021-11-20,Penn State,Rutgers,W,28,1599.4056909730475
2021,2021-11-20,Pittsburgh,Virginia,W,10,1736.7557572748517
2021,2021-11-20,Purdue,Northwestern,W,18,1611.2768641965044
2021,2021-11-20,Rice,UTEP,L,-10,1253.0388340551194
2021,2021-11-20,Rutgers,Penn State,L,-28,1399.726929659286
2021,2021-11-20,SMU,Cincinnati,L,-34,1642.624756938727
2021,2021-11-20,South Alabama,Tennessee,L,-46,1355.2317837998821
2021,2021-11-20,South Carolina,Auburn,W,4,1506.3733834929112
2021,2021-11-20,South Florida,Tulane,L,-31,1252.9358170808048
2021,2021-11-20,Stanford,California,L,-30,1287.8747549456568
2021,2021-11-20,Syracuse,NC State,L,-24,1423.3505166857549
2021,2021-11-20,TCU,Kansas,W,3,1403.0981972919822
2021,2021-11-20,Temple,Tulsa,L,-34,1230.8658240267473
2021,2021-11-20,Tennessee,South Alabama,W,46,1531.8405984238047
2021,2021-11-20,Texas,West Virginia,L,-8,1372.3908285119808
2021,2021-11-20,Texas State,Coastal Carolina,L,-14,1347.9494632333817
2021,2021-11-20,Texas Tech,Oklahoma State,L,-23,1461.5736219504397
2021,2021-11-20,Tulane,South Florida,W,31,1303.1859737412524
2021,2021-11-20,Tulsa,Temple,W,34,1467.5873824312466
2021,2021-11-20,UAB,UTSA,L,-3,1592.526985368805
2021,2021-11-20,UCLA,USC,W,29,1557.8636727065484
2021,2021-11-20,UL Monroe,LSU,L,-13,1361.8449689392367
2021,2021-11-20,USC,UCLA,L,-29,1334.664898204123
2021,2021-11-20,UTEP,Rice,W,10,1493.1497043330153
2021,2021-11-20,UTSA,UAB,W,3,1770.872906766576
2021,2021-11-20,Uconn,UCF,L,-32,1269.0843148786705
2021,2021-11-20,Utah,Oregon,W,31,1799.7006394119753
2021,2021-11-20,Utah State,Wyoming,L,-27,1502.4654652707272
2021,2021-11-20,Vanderbilt,Ole Miss,L,-14,1225.9950420755308
2021,2021-11-20,Virginia,Pittsburgh,L,-10,1467.197824025447
2021,2021-11-20,Virginia Tech,Miami,L,-12,1401.1071866419975
2021,2021-11-20,Wake Forest,Clemson,L,-21,1609.146711296683
2021,2021-11-20,Washington,Colorado,L,-3,1442.2459302575724
2021,2021-11-20,West Virginia,Texas,W,8,1493.825077125736
2021,2021-11-20,Western Kentucky,Florida Atlantic,W,35,1646.333952404649
2021,2021-11-20,Wisconsin,Nebraska,W,7,1786.143608153814
2021,2021-11-20,Wyoming,Utah State,W,27,1494.7420643715398
2021,2021-11-23,Ball State,Buffalo,W,17,1487.3107462834032
2021,2021-11-23,Buffalo,Ball State,L,-17,1260.1422767969261
2021,2021-11-23,Northern Illinois,Western Michigan,L,-21,1424.2560955090369
2021,2021-11-23,Western Michigan,Northern Illinois,W,21,1458.9712386812616
2021,2021-11-25,Mississippi State,Ole Miss,L,-10,1613.7770024397605
2021,2021-11-25,Ole Miss,Mississippi State,W,10,1779.5398803537055
2021,2021-11-25,San Jose State,Fresno State,L,-31,1392.1626227849206
2021,2021-11-26,Air Force,UNLV,W,34,1690.1834340622606
2021,2021-11-26,Arkansas,Missouri,W,17,1618.0638292659817
2021,2021-11-26,Boise State,San Diego State,L,-11,1721.7433144341605
2021,2021-11-26,Bowling Green,Ohio,W,11,1365.1605642566865
2021,2021-11-26,Central Michigan,Eastern Michigan,W,21,1678.0141871020153
2021,2021-11-26,Cincinnati,East Carolina,W,22,1873.571241142838
2021,2021-11-26,Coastal Carolina,South Alabama,W,6,1720.9644489499146
2021,2021-11-26,Colorado,Utah,L,-15,1332.2205054699673
2021,2021-11-26,East Carolina,Cincinnati,L,-22,1591.5224003441738
2021,2021-11-26,Eastern Michigan,Central Michigan,L,-21,1447.9700751954492
2021,2021-11-26,Iowa,Nebraska,W,7,1694.1049021936878
2021,2021-11-26,Iowa State,TCU,W,34,1580.6403076637991
2021,2021-11-26,Kansas State,Texas,L,-5,1557.0317305520248
2021,2021-11-26,Missouri,Arkansas,L,-17,1437.1909113465874
2021,2021-11-26,Nebraska,Iowa,L,-7,1414.7530332803342
2021,2021-11-26,New Mexico,Utah State,L,-25,1247.1293419748424
2021,2021-11-26,North Carolina,NC State,L,-4,1537.092793216191
2021,2021-11-26,Ohio,Bowling Green,L,-11,1342.701561107397
2021,2021-11-26,San Diego State,Boise State,W,11,1791.618468518075
2021,2021-11-26,South Alabama,Coastal Carolina,L,-6,1345.6756414002873
2021,2021-11-26,South Florida,UCF,L,-4,1246.0410242790854
2021,2021-11-26,TCU,Iowa State,L,-34,1352.9443671748036
2021,2021-11-26,Texas,Kansas State,W,5,1442.6070992122386
2021,2021-11-26,UAB,UTEP,W,17,1644.8683991813152
2021,2021-11-26,UCF,South Florida,W,4,1535.7248949656134
2021,2021-11-26,UNLV,Air Force,L,-34,1385.095732932417
2021,2021-11-26,UTEP,UAB,L,-17,1463.168006812765
2021,2021-11-26,Utah,Colorado,W,15,1807.0617350867587
2021,2021-11-26,Utah State,New Mexico,W,25,1532.794139122775
2021,2021-11-26,Washington,Washington State,L,-27,1391.2164827210684
2021,2021-11-26,Washington State,Washington,W,27,1627.1966446723038
2021,2021-11-27,Akron,Toledo,L,-35,1162.2740527907579
2021,2021-11-27,Alabama,Auburn,W,2,1767.38768804079
2021,2021-11-27,Arizona,Arizona State,L,-23,1227.0631573005678
2021,2021-11-27,Arizona State,Arizona,W,23,1547.4522524968186
2021,2021-11-27,Arkansas State,Texas State,L,-2,1217.8451419237601
2021,2021-11-27,Army,Liberty,W,15,1571.193400742531
2021,2021-11-27,Auburn,Alabama,L,-2,1479.441891515852
2021,2021-11-27,BYU,USC,W,4,1684.8129459042118
2021,2021-11-27,Baylor,Texas Tech,W,3,1816.9542519806685
2021,2021-11-27,Boston College,Wake Forest,L,-31,1429.8168534642045
2021,2021-11-27,California,UCLA,L,-28,1458.9039717659039
2021,2021-11-27,Charlotte,Old Dominion,L,-22,1238.0878117841226
2021,2021-11-27,Clemson,South Carolina,W,30,1815.7473497331432
2021,2021-11-27,Colorado State,Nevada,L,-42,1267.7410357157326
2021,2021-11-27,Duke,Miami,L,-37,1213.7479051861483
2021,2021-11-27,Florida,Florida State,W,3,1439.1169017036837
2021,2021-11-27,Florida Atlantic,Middle Tennessee,L,-10,1288.3708236560976
2021,2021-11-27,Florida International,Southern Miss,L,-20,1028.4826657247525
2021,2021-11-27,Florida State,Florida,L,-3,1521.4961452960831
2021,2021-11-27,Georgia,Georgia Tech,W,45,1930.0236463522551
2021,2021-11-27,Georgia Tech,Georgia,L,-45,1299.3760053764468
2021,2021-11-27,Hawai'i,Wyoming,W,24,1486.1399399959325
2021,2021-11-27,Indiana,Purdue,L,-37,1223.0808896053175
2021,2021-11-27,Kansas,West Virginia,L,-6,1191.3455216895843
2021,2021-11-27,Kent State,Miami (OH),W,1,1501.057755356352
2021,2021-11-27,Kentucky,Louisville,W,31,1657.7933155079395
2021,2021-11-27,LSU,Texas A&M,W,3,1538.5737589457183
2021,2021-11-27,Liberty,Army,L,-15,1446.8887587627191
2021,2021-11-27,Louisiana,UL Monroe,W,5,1785.8143166193834
2021,2021-11-27,Louisiana Tech,Rice,L,-4,1222.2450465920172
2021,2021-11-27,Louisville,Kentucky,L,-31,1565.7441975554716
2021,2021-11-27,Marshall,Western Kentucky,L,-32,1491.6796193844036
2021,2021-11-27,Maryland,Rutgers,W,24,1452.7738990639568
2021,2021-11-27,Massachusetts,New Mexico State,L,-17,1175.4492761164065
2021,2021-11-27,Memphis,Tulane,W,5,1471.2488456039491
2021,2021-11-27,Miami,Duke,W,37,1532.8264476077834
2021,2021-11-27,Miami (OH),Kent State,L,-1,1589.5148346675928
2021,2021-11-27,Michigan,Ohio State,W,15,1867.9160713803483
2021,2021-11-27,Michigan State,Penn State,W,3,1670.9409590986588
2021,2021-11-27,Middle Tennessee,Florida Atlantic,W,10,1404.0722107417037
2021,2021-11-27,Minnesota,Wisconsin,W,10,1641.0955791772958
2021,2021-11-27,NC State,Boston College,W,31,1689.1499049816682
2021,2021-11-27,Navy,Temple,W,24,1382.9364444708979
2021,2021-11-27,Nevada,Colorado State,W,42,1583.8891218658314
2021,2021-11-27,North Texas,UTSA,W,22,1478.325595386317
2021,2021-11-27,Northwestern,Illinois,L,-33,1312.5253249509585
2021,2021-11-27,Notre Dame,Stanford,W,31,1779.4013863008956
2021,2021-11-27,Ohio State,Michigan,L,-15,1832.5974114052683
2021,2021-11-27,Oklahoma,Oklahoma State,L,-4,1710.9001966245744
2021,2021-11-27,Oklahoma State,Oklahoma,W,4,1837.2026511472586
2021,2021-11-27,Oregon,Oregon State,W,9,1714.8068169751723
2021,2021-11-27,Oregon State,Oregon,L,-9,1610.4285991451316
2021,2021-11-27,Penn State,Michigan State,L,-3,1601.9029388063836
2021,2021-11-27,Pittsburgh,Syracuse,W,17,1755.0148376146312
2021,2021-11-27,Purdue,Indiana,W,37,1633.8146566216092
2021,2021-11-27,Rice,Louisiana Tech,W,4,1267.2216912022843
2021,2021-11-27,Rutgers,Maryland,L,-24,1346.373666547084
2021,2021-11-27,SMU,Tulsa,L,-3,1591.151877236867
2021,2021-11-27,South Carolina,Clemson,L,-30,1492.836677462092
2021,2021-11-27,Southern Miss,Florida International,W,20,1267.3418529234793
2021,2021-11-27,Stanford,Notre Dame,L,-31,1283.7036601843638
2021,2021-11-27,Syracuse,Pittsburgh,L,-17,1413.709996651806
2021,2021-11-27,Temple,Navy,L,-24,1178.7514679457051
2021,2021-11-27,Tennessee,Vanderbilt,W,24,1569.8961503220307
2021,2021-11-27,Texas A&M,LSU,L,-3,1627.6497374055998
2021,2021-11-27,Texas State,Arkansas State,W,2,1358.8142355961797
2021,2021-11-27,Texas Tech,Baylor,L,-3,1457.794722046864
2021,2021-11-27,Toledo,Akron,W,35,1591.0671167810108
2021,2021-11-27,Troy,Georgia State,L,-27,1454.7873380016915
2021,2021-11-27,Tulane,Memphis,L,-5,1330.8545452656676
2021,2021-11-27,Tulsa,SMU,W,3,1539.0663833916703
2021,2021-11-27,UL Monroe,Louisiana,L,-5,1331.3332319457666
2021,2021-11-27,USC,BYU,L,-4,1330.1007522391365
2021,2021-11-27,UTSA,North Texas,L,-22,1654.947513499189
2021,2021-11-27,Uconn,Houston,L,-28,1266.0179699184562
2021,2021-11-27,Vanderbilt,Tennessee,L,-24,1205.449098106468
2021,2021-11-27,Virginia,Virginia Tech,L,-5,1423.864224835868
2021,2021-11-27,Virginia Tech,Virginia,W,5,1433.2945563597013
2021,2021-11-27,Wake Forest,Boston College,W,31,1657.9424658575401
2021,2021-11-27,West Virginia,Kansas,W,6,1523.2179103756343
2021,2021-11-27,Western Kentucky,Marshall,W,32,1681.8212498991027
2021,2021-11-27,Wisconsin,Minnesota,L,-10,1694.8185988526377
2021,2021-11-27,Wyoming,Hawai'i,L,-24,1488.277499322461
2021,2021-12-03,Oregon,Utah,L,-28,1679.2609710929887
2021,2021-12-03,UTSA,Western Kentucky,W,8,1693.1427244471072
2021,2021-12-03,Utah,Oregon,W,28,1868.1313204439161
2021,2021-12-03,Western Kentucky,UTSA,L,-8,1638.0960559814212
2021,2021-12-04,Alabama,Georgia,W,17,1873.5116178186493
2021,2021-12-04,Baylor,Oklahoma State,W,5,1870.9855279133985
2021,2021-12-04,California,USC,W,10,1480.0498516790524
2021,2021-12-04,Cincinnati,Houston,W,15,1906.0659568529181
2021,2021-12-04,Georgia,Alabama,L,-17,1873.9473286105692
2021,2021-12-04,Houston,Cincinnati,L,-15,1744.2882480274402
2021,2021-12-04,Iowa,Michigan,L,-39,1648.1342914586533
2021,2021-12-04,Kent State,Northern Illinois,L,-18,1406.4415886917047
2021,2021-12-04,Michigan,Iowa,W,39,1893.7243035781569
2021,2021-12-04,NC State,Pittsburgh,L,-24,1650.2105330145912
2021,2021-12-04,Northern Illinois,Kent State,W,18,1477.010643034089
2021,2021-12-04,Oklahoma State,Baylor,L,-5,1807.5479617999106
2021,2021-12-04,Pittsburgh,Wake Forest,W,24,1842.975542146251
2021,2021-12-04,San Diego State,Utah State,L,-33,1720.4598579763938
2021,2021-12-04,Utah State,San Diego State,W,33,1667.4714285052662
2021,2021-12-04,Wake Forest,Pittsburgh,L,-24,1629.957024649066
2021,2021-12-11,Army,Navy,L,-4,1568.7428770904842
2021,2021-12-11,Navy,Army,W,4,1467.419937122461
2021,2021-12-17,Coastal Carolina,Northern Illinois,W,6,1737.3645282981188
2021,2021-12-17,Middle Tennessee,Toledo,W,7,1508.2363205795739
2021,2021-12-17,Toledo,Middle Tennessee,L,-7,1556.858645438067
2021,2021-12-18,BYU,UAB,L,-3,1661.166646182897
2021,2021-12-18,Eastern Michigan,Liberty,L,-36,1399.820686291861
2021,2021-12-18,Fresno State,UTEP,W,7,1661.214668152484
2021,2021-12-18,Louisiana,Marshall,W,15,1796.1451593914292
2021,2021-12-18,Marshall,Louisiana,L,-15,1472.175208078334
2021,2021-12-18,Oregon State,Utah State,L,-11,1556.2991533766678
2021,2021-12-18,UAB,BYU,W,3,1690.0465775245764
2021,2021-12-20,Tulsa,Old Dominion,W,13,1577.043803871919
2021,2021-12-21,Kent State,Wyoming,L,-14,1367.4809026848134
2021,2021-12-21,San Diego State,UTSA,W,14,1704.9465167083306
2021,2021-12-21,UTSA,San Diego State,L,-14,1638.4801629366239
2021,2021-12-21,Wyoming,Kent State,W,14,1498.79681594548
2021,2021-12-22,Missouri,Army,L,-2,1404.5706109823448
2021,2021-12-23,Florida,UCF,L,-12,1412.162859474955
2021,2021-12-23,Miami (OH),North Texas,W,13,1613.2169762777364
2021,2021-12-23,UCF,Florida,W,12,1583.4252955417408
2021,2021-12-25,Ball State,Georgia State,L,-31,1460.2589910924612
2021,2021-12-27,Western Michigan,Nevada,W,28,1569.0195234599466
2021,2021-12-28,Air Force,Louisville,W,3,1700.5798995674231
2021,2021-12-28,Auburn,Houston,L,-4,1468.187970290572
2021,2021-12-28,Louisville,Air Force,L,-3,1505.013439323987
2021,2021-12-28,Minnesota,West Virginia,W,12,1721.6806212197514
2021,2021-12-28,Mississippi State,Texas Tech,L,-27,1480.612990185803
2021,2021-12-28,Texas Tech,Mississippi State,W,27,1517.75807529078
2021,2021-12-28,West Virginia,Minnesota,L,-12,1509.0590581957972
2021,2021-12-29,Clemson,Iowa State,W,7,1827.8654729160523
2021,2021-12-29,Maryland,Virginia Tech,W,44,1498.0855446858984
2021,2021-12-29,Oklahoma,Oregon,W,15,1732.4154682891622
2021,2021-12-29,Oregon,Oklahoma,L,-15,1589.811536068751
2021,2021-12-29,Virginia Tech,Maryland,L,-44,1354.704605557016
2021,2021-12-30,Arizona State,Wisconsin,L,-7,1525.2254543861548
2021,2021-12-30,Michigan State,Pittsburgh,W,10,1717.7413302279808
2021,2021-12-30,North Carolina,South Carolina,L,-17,1486.6760565115637
2021,2021-12-30,Purdue,Tennessee,W,3,1657.944268469022
2021,2021-12-30,South Carolina,North Carolina,W,17,1569.9927108113827
2021,2021-12-30,Tennessee,Purdue,L,-3,1546.6882780025624
2021,2021-12-30,Wisconsin,Arizona State,W,7,1712.8516188466824
2021,2021-12-31,Alabama,Cincinnati,W,21,1927.471405077888
2021,2021-12-31,Central Michigan,Washington State,W,3,1712.7273405032417
2021,2021-12-31,Cincinnati,Alabama,L,-21,1836.13821964906
2021,2021-12-31,Georgia,Michigan,W,23,1926.1817370477602
2021,2021-12-31,Michigan,Georgia,L,-23,1856.0671071569818
2021,2021-12-31,Rutgers,Wake Forest,L,-28,1295.7172602040432
2022,2022-01-02,Illinois,Mississippi State,L,-9,1384.4445957201087
2022,2022-01-02,LSU,Purdue,W,56,1604.2120805537731
2022,2022-01-02,Mississippi State,Illinois,W,9,1511.5712601910254
2022,2022-01-02,Penn State,Utah,W,14,1691.7602740338343
2022,2022-01-02,Purdue,LSU,L,-56,1558.5011766226958
2022,2022-01-02,Tulane,USC,W,1,1324.9852311286706
2022,2022-01-02,USC,Tulane,L,-1,1284.2068407197235
2022,2022-01-02,Utah,Penn State,L,-14,1813.3063317743506
2022,2022-01-09,Georgia,TCU,W,58,1928.992783448542
2022,2022-01-09,TCU,Georgia,L,-58,1347.4192060249645
2022,2022-09-01,New Mexico State,Minnesota,L,-38,1234.1095818337021
2022,2022-09-02,Illinois,Indiana,L,-3,1357.5717744776136
2022,2022-09-03,Florida Atlantic,Ohio,L,-3,1267.3577438840284
2022,2022-09-03,Hawai'i,Western Kentucky,L,-32,1437.0843469054248
2022,2022-09-03,Nevada,Texas State,W,24,1561.042318923366
2022,2022-09-03,North Texas,SMU,L,-38,1465.262920511203
2022,2022-09-03,UTEP,Oklahoma,L,-32,1417.7694835051493
2022,2022-09-03,Utah State,Alabama,L,-55,1678.6488477538653
2022,2022-09-03,Western Kentucky,Hawai'i,W,32,1666.1732372259717
2022,2022-09-03,Wyoming,Tulsa,W,3,1523.6777885464326
2022,2022-09-04,Florida State,LSU,W,1,1509.1815813638616
2022,2022-09-09,Boise State,New Mexico,W,17,1695.5478860637784
2022,2022-09-09,Louisville,UCF,W,6,1539.9451906272245
2022,2022-09-09,New Mexico,Boise State,L,-17,1229.1928522511291
2022,2022-09-09,UCF,Louisville,L,-6,1516.899998190636
2022,2022-09-10,Air Force,Colorado,W,31,1724.7369963020813
2022,2022-09-10,Akron,Michigan State,L,-52,1159.2163169256457
2022,2022-09-10,Alabama,Texas,W,1,1985.2587234648752
2022,2022-09-10,Arizona,Mississippi State,L,-22,1216.2679209297346
2022,2022-09-10,Arizona State,Oklahoma State,L,-17,1500.6290577279813
2022,2022-09-10,Arkansas,South Carolina,W,14,1679.089979080228
2022,2022-09-10,Arkansas State,Ohio State,L,-33,1212.9486946737143
2022,2022-09-10,Army,UTSA,L,-3,1520.3464695851821
2022,2022-09-10,BYU,Baylor,W,6,1678.6427244826205
2022,2022-09-10,Ball State,Western Michigan,L,-7,1422.7650217450794
2022,2022-09-10,Baylor,BYU,L,-6,1794.4661319756733
2022,2022-09-10,Boston College,Virginia Tech,L,-17,1320.5209231215963
2022,2022-09-10,California,UNLV,W,6,1499.3921502762232
2022,2022-09-10,Central Michigan,South Alabama,L,-14,1603.5340962526006
2022,2022-09-10,Charlotte,Maryland,L,-35,1224.6697380154849
2022,2022-09-10,Colorado,Air Force,L,-31,1320.8709799531057
2022,2022-09-10,Colorado State,Middle Tennessee,L,-15,1253.7839301263705
2022,2022-09-10,Duke,Northwestern,W,8,1242.0000626322512
2022,2022-09-10,East Carolina,Old Dominion,W,18,1630.4491929359342
2022,2022-09-10,Eastern Michigan,Louisiana,L,-28,1393.3053558411198
2022,2022-09-10,Florida,Kentucky,L,-10,1380.9613543241153
2022,2022-09-10,Florida International,Texas State,L,-29,1007.5390165616307
2022,2022-09-10,Fresno State,Oregon State,L,-3,1611.478365105911
2022,2022-09-10,Georgia Southern,Nebraska,W,3,1375.7379340313387
2022,2022-09-10,Georgia State,North Carolina,L,-7,1630.3564946159688
2022,2022-09-10,Hawai'i,Michigan,L,-46,1428.1153028469896
2022,2022-09-10,Houston,Texas Tech,L,-3,1697.7367794300699
2022,2022-09-10,Illinois,Virginia,W,21,1410.040149489032
2022,2022-09-10,Iowa,Iowa State,L,-3,1601.3358518488312
2022,2022-09-10,Iowa State,Iowa,W,3,1614.3321229223893
2022,2022-09-10,Kansas,West Virginia,W,13,1244.8178025859502
2022,2022-09-10,Kansas State,Missouri,W,28,1554.5643325152878
2022,2022-09-10,Kent State,Oklahoma,L,-30,1328.8703476355838
2022,2022-09-10,Kentucky,Florida,W,10,1677.5388847049394
2022,2022-09-10,Liberty,UAB,W,7,1574.877983263628
2022,2022-09-10,Louisiana,Eastern Michigan,W,28,1817.8563346916824
2022,2022-09-10,Marshall,Notre Dame,W,5,1544.4335039880202
2022,2022-09-10,Maryland,Charlotte,W,35,1556.278972296729
2022,2022-09-10,Massachusetts,Toledo,L,-45,1155.31787896134
2022,2022-09-10,Memphis,Navy,W,24,1552.204396635334
2022,2022-09-10,Miami,Southern Miss,W,23,1561.0279787097713
2022,2022-09-10,Michigan,Hawai'i,W,46,1828.63081988236
2022,2022-09-10,Michigan State,Akron,W,52,1723.7425060684411
2022,2022-09-10,Middle Tennessee,Colorado State,W,15,1534.1451887131911
2022,2022-09-10,Mississippi State,Arizona,W,22,1555.2913230688328
2022,2022-09-10,Missouri,Kansas State,L,-28,1349.4200187350098
2022,2022-09-10,NC State,Vanderbilt,W,20,1654.6988512260925
2022,2022-09-10,Navy,Memphis,L,-24,1419.9488989638205
2022,2022-09-10,Nebraska,Georgia Southern,L,-3,1359.351716764063
2022,2022-09-10,New Mexico State,UTEP,L,-7,1219.914921204651
2022,2022-09-10,North Carolina,Georgia State,W,7,1529.6219832328804
2022,2022-09-10,Northern Illinois,Tulsa,L,-3,1473.1294969794264
2022,2022-09-10,Northwestern,Duke,L,-8,1234.7389133215547
2022,2022-09-10,Notre Dame,Marshall,L,-5,1743.0955156660707
2022,2022-09-10,Ohio,Penn State,L,-36,1314.0101012338966
2022,2022-09-10,Ohio State,Arkansas State,W,33,1789.9742993035222
2022,2022-09-10,Oklahoma,Kent State,W,30,1775.2790605156918
2022,2022-09-10,Oklahoma State,Arizona State,W,17,1796.3818980256265
2022,2022-09-10,Old Dominion,East Carolina,L,-18,1445.2024555910716
2022,2022-09-10,Oregon State,Fresno State,W,3,1581.9260740737025
2022,2022-09-10,Penn State,Ohio,W,36,1708.2836798819894
2022,2022-09-10,Pittsburgh,Tennessee,L,-7,1713.867708408951
2022,2022-09-10,San Jose State,Auburn,L,-8,1366.7727459793975
2022,2022-09-10,South Alabama,Central Michigan,W,14,1400.2318303591394
2022,2022-09-10,South Carolina,Arkansas,L,-14,1534.5566480878376
2022,2022-09-10,Southern Miss,Miami,L,-23,1268.9981458448867
2022,2022-09-10,Stanford,USC,L,-13,1238.2696666280697
2022,2022-09-10,Tennessee,Pittsburgh,W,7,1588.5709197652131
2022,2022-09-10,Texas,Alabama,L,-1,1441.9278418222061
2022,2022-09-10,Texas State,Florida International,W,29,1356.00745003514
2022,2022-09-10,Texas Tech,Houston,W,3,1594.7363409732225
2022,2022-09-10,Toledo,Massachusetts,W,45,1529.8848195774983
2022,2022-09-10,Tulsa,Northern Illinois,W,3,1570.5424302468289
2022,2022-09-10,UAB,Liberty,L,-7,1648.950018469236
2022,2022-09-10,UNLV,California,L,-6,1336.3036645617772
2022,2022-09-10,USC,Stanford,W,13,1354.623993566597
2022,2022-09-10,UTEP,New Mexico State,W,7,1444.1802225961544
2022,2022-09-10,UTSA,Army,W,3,1653.4974688144202
2022,2022-09-10,Uconn,Syracuse,L,-34,1236.267249160133
2022,2022-09-10,Vanderbilt,Wake Forest,L,-20,1190.37062946654
2022,2022-09-10,Virginia,Illinois,L,-21,1304.7550234373093
2022,2022-09-10,Virginia Tech,Boston College,W,17,1405.0101316185421
2022,2022-09-10,Wake Forest,Vanderbilt,W,20,1626.5186173024315
2022,2022-09-10,Washington State,Wisconsin,W,3,1661.0836125465366
2022,2022-09-10,West Virginia,Kansas,L,-13,1387.054902389786
2022,2022-09-10,Western Michigan,Ball State,W,7,1589.6527635361158
2022,2022-09-10,Wisconsin,Washington State,L,-3,1701.9463558659338
2022,2022-09-16,Air Force,Wyoming,L,-3,1670.6802060415775
2022,2022-09-16,Florida State,Louisville,W,4,1563.5047770057477
2022,2022-09-16,Louisville,Florida State,L,-4,1543.2215450589285
2022,2022-09-16,Wyoming,Air Force,W,3,1551.1530796012778
2022,2022-09-17,Akron,Tennessee,L,-57,1146.1608412307858
2022,2022-09-17,Alabama,UL Monroe,W,56,1988.5334720453031
2022,2022-09-17,Arizona State,Eastern Michigan,L,-9,1457.7062623041193
2022,2022-09-17,Arkansas State,Memphis,L,-12,1198.8396078116248
2022,2022-09-17,Auburn,Penn State,L,-29,1457.99843334293
2022,2022-09-17,BYU,Oregon,L,-21,1608.497044011377
2022,2022-09-17,Baylor,Texas State,W,35,1806.0941838384317
2022,2022-09-17,Bowling Green,Marshall,W,3,1418.4539038447683
2022,2022-09-17,Buffalo,Coastal Carolina,L,-12,1240.0902029593187
2022,2022-09-17,California,Notre Dame,L,-7,1490.0273622124166
2022,2022-09-17,Charlotte,Georgia State,W,1,1227.5374521719007
2022,2022-09-17,Cincinnati,Miami (OH),W,21,1867.4527213183896
2022,2022-09-17,Clemson,Louisiana Tech,W,28,1831.6131677598728
2022,2022-09-17,Coastal Carolina,Buffalo,W,12,1743.0331333016302
2022,2022-09-17,Colorado,Minnesota,L,-42,1300.4007846213347
2022,2022-09-17,Colorado State,Washington State,L,-31,1229.934690221477
2022,2022-09-17,Eastern Michigan,Arizona State,W,9,1468.7526433465234
2022,2022-09-17,Florida,South Florida,W,3,1394.8381082172818
2022,2022-09-17,Florida Atlantic,UCF,L,-26,1238.3490563429027
2022,2022-09-17,Fresno State,USC,L,-28,1480.3304850799443
2022,2022-09-17,Georgia,South Carolina,W,41,1944.2438121356633
2022,2022-09-17,Georgia Southern,UAB,L,-14,1368.8604128666425
2022,2022-09-17,Georgia State,Charlotte,L,-1,1562.189508873312
2022,2022-09-17,Georgia Tech,Ole Miss,L,-42,1288.6311432022233
2022,2022-09-17,Houston,Kansas,L,-18,1638.859862101199
2022,2022-09-17,Indiana,Western Kentucky,W,3,1305.2200116552278
2022,2022-09-17,Iowa,Nevada,W,27,1674.3398647756858
2022,2022-09-17,Iowa State,Ohio,W,33,1647.5151923986627
2022,2022-09-17,Kansas,Houston,W,18,1415.4405118262473
2022,2022-09-17,Kansas State,Tulane,L,-7,1495.6812726618737
2022,2022-09-17,LSU,Mississippi State,W,15,1670.0912330531871
2022,2022-09-17,Liberty,Wake Forest,L,-1,1558.0659001481686
2022,2022-09-17,Louisiana,Rice,L,-12,1718.0073319199541
2022,2022-09-17,Louisiana Tech,Clemson,L,-28,1220.3489602921043
2022,2022-09-17,Marshall,Bowling Green,L,-3,1517.2613549994448
2022,2022-09-17,Maryland,SMU,W,7,1622.6115815519993
2022,2022-09-17,Memphis,Arkansas State,W,12,1559.5641699384216
2022,2022-09-17,Miami,Texas A&M,L,-8,1508.6350243830777
2022,2022-09-17,Miami (OH),Cincinnati,L,-21,1596.0911313746722
2022,2022-09-17,Michigan State,Washington,L,-11,1623.4890191844547
2022,2022-09-17,Minnesota,Colorado,W,42,1733.081530938154
2022,2022-09-17,Mississippi State,LSU,L,-15,1501.4119958464914
2022,2022-09-17,NC State,Liberty,W,1,1697.5329608776149
2022,2022-09-17,Nebraska,Oklahoma,L,-35,1353.0487531697383
2022,2022-09-17,Nevada,Iowa,L,-27,1518.5842521458676
2022,2022-09-17,New Mexico,UTEP,W,17,1336.2941596974647
2022,2022-09-17,New Mexico State,Wisconsin,L,-59,1197.323792204425
2022,2022-09-17,North Texas,UNLV,L,-31,1352.3771077950396
2022,2022-09-17,Northern Illinois,Vanderbilt,L,-10,1377.422979779259
2022,2022-09-17,Notre Dame,California,W,7,1720.7500878595433
2022,2022-09-17,Ohio,Iowa State,L,-33,1286.1494187406845
2022,2022-09-17,Ohio State,Toledo,W,56,1825.7894454995292
2022,2022-09-17,Oklahoma,Nebraska,W,35,1792.777250747147
2022,2022-09-17,Old Dominion,Virginia,L,-2,1382.5720497915324
2022,2022-09-17,Ole Miss,Georgia Tech,W,42,1784.1047501750454
