season,game_date,Team,opponent,Result,point_differential,Team_Elo_Rating
2021,2021-09-11,Utah,BYU,L,-9,1444.174758129454
2021,2021-09-11,Vanderbilt,Colorado State,W,3,1522.1807097779183
2021,2021-09-11,Virginia,Illinois,W,28,1543.4174318739126
2021,2021-09-11,Virginia Tech,Middle Tennessee,W,21,1548.0
2021,2021-09-11,Washington,Michigan,L,-21,1452.0
2021,2021-09-11,Western Kentucky,Army,L,-3,1477.8192902220817
2021,2021-09-11,Wisconsin,Eastern Michigan,W,27,1548.0
2021,2021-09-11,Wyoming,Northern Illinois,W,7,1533.2710646668775
2021,2021-09-16,Louisiana,Ohio,W,35,1583.0646398349777
2021,2021-09-16,Ohio,Louisiana,L,-35,1452.0
2021,2021-09-17,Illinois,Maryland,L,-3,1365.8268396167646
2021,2021-09-17,Louisville,UCF,W,7,1558.3503259871459
2021,2021-09-17,Maryland,Illinois,W,3,1513.7837193605576
2021,2021-09-17,UCF,Louisville,L,-7,1466.7289353331225
2021,2021-09-18,Air Force,Utah State,L,-4,1524.4161247335617
2021,2021-09-18,Alabama,Florida,W,2,1446.625484474313
2021,2021-09-18,Arizona State,BYU,L,-10,1512.7411226062488
2021,2021-09-18,Arkansas,Georgia Southern,W,35,1653.8975755316915
2021,2021-09-18,Arkansas State,Washington,L,-49,1358.9329214925388
2021,2021-09-18,Auburn,Penn State,L,-8,1444.7040796559
2021,2021-09-18,BYU,Arizona State,W,10,1598.608666428611
2021,2021-09-18,Ball State,Wyoming,L,-33,1351.9325803956935
2021,2021-09-18,Baylor,Kansas,W,38,1598.7975548963611
2021,2021-09-18,Boise State,Oklahoma State,L,-1,1560.782342739105
2021,2021-09-18,Boston College,Temple,W,25,1660.4025867734604
2021,2021-09-18,Buffalo,Coastal Carolina,L,-3,1407.2659868925396
2021,2021-09-18,Central Michigan,LSU,L,-28,1391.68641264197
2021,2021-09-18,Charlotte,Georgia State,L,-11,1455.1468787153708
2021,2021-09-18,Cincinnati,Indiana,W,14,1573.1341101171322
2021,2021-09-18,Clemson,Georgia Tech,W,6,1555.0553779963134
2021,2021-09-18,Coastal Carolina,Buffalo,W,3,1602.8016522480334
2021,2021-09-18,Colorado,Minnesota,L,-30,1397.7052558532303
2021,2021-09-18,Colorado State,Toledo,W,16,1534.785317206618
2021,2021-09-18,Duke,Northwestern,W,7,1558.3503259871459
2021,2021-09-18,East Carolina,Marshall,W,4,1511.1566266066372
2021,2021-09-18,Eastern Michigan,Massachusetts,W,14,1491.1986497329206
2021,2021-09-18,Florida,Alabama,L,-2,1539.354400411801
2021,2021-09-18,Florida International,Texas Tech,L,-33,1374.368917848053
2021,2021-09-18,Florida State,Wake Forest,L,-21,1419.4248854164484
2021,2021-09-18,Fresno State,UCLA,W,3,1491.0874254489454
2021,2021-09-18,Georgia,South Carolina,W,27,1699.825112065547
2021,2021-09-18,Georgia Southern,Arkansas,L,-35,1379.952426536395
2021,2021-09-18,Georgia State,Charlotte,W,11,1500.4949258336958
2021,2021-09-18,Georgia Tech,Clemson,L,-6,1468.865437615115
2021,2021-09-18,Indiana,Cincinnati,L,-14,1456.6711967823646
2021,2021-09-18,Iowa,Kent State,W,23,1617.5598016749836
2021,2021-09-18,Iowa State,UNLV,W,45,1476.2612450781965
2021,2021-09-18,Kansas,Baylor,L,-38,1385.6656457210595
2021,2021-09-18,Kansas State,Nevada,W,21,1615.9536202126728
2021,2021-09-18,Kent State,Iowa,L,-23,1458.5548000418835
2021,2021-09-18,LSU,Central Michigan,W,28,1453.4025678341334
2021,2021-09-18,Liberty,Old Dominion,W,28,1600.8403604777861
2021,2021-09-18,Louisiana Tech,SMU,L,-2,1487.6177989435025
2021,2021-09-18,Marshall,East Carolina,L,-4,1472.520608875623
2021,2021-09-18,Massachusetts,Eastern Michigan,L,-14,1379.0231745638957
2021,2021-09-18,Memphis,Mississippi State,W,2,1568.209602722695
2021,2021-09-18,Miami,Michigan State,L,-21,1452.0
2021,2021-09-18,Michigan,Northern Illinois,W,53,1610.3433326413397
2021,2021-09-18,Michigan State,Miami,W,21,1580.5751145835516
2021,2021-09-18,Middle Tennessee,UTSA,L,-14,1393.1994476969176
2021,2021-09-18,Minnesota,Colorado,W,30,1586.7859117319265
