season,game_date,Team,opponent,Result,point_differential,Pre_Elo_Team,Pre_Elo_Opponent,Post_Elo_Team,Post_Elo_Opponent,Elo_Change,AP_rank,opponent_rank,rank_change
2021,2021-09-04,New Mexico State,San Diego State,L,-18,1500.0,1500.0,1452.888976333337,1547.111023666663,-47.111023666663044,,,0.0
2021,2021-09-04,San Diego State,New Mexico State,W,18,1500.0,1500.0,1547.111023666663,1452.888976333337,47.111023666663044,,,
2021,2021-09-04,UCLA,LSU,W,11,1500.0,1500.0,1539.758506396608,1460.241493603392,39.758506396608006,16.0,,-10.0
2021,2021-09-04,LSU,UCLA,L,-11,1500.0,1500.0,1460.241493603392,1539.758506396608,-39.758506396608006,,,
2021,2021-09-04,Illinois,UTSA,L,-7,1500.0,1500.0,1466.7289353331225,1533.2710646668775,-33.27106466687737,,,0.0
2021,2021-09-04,UTSA,Illinois,W,7,1500.0,1500.0,1533.2710646668775,1466.7289353331225,33.27106466687737,,,
2021,2021-09-04,San Jose State,USC,L,-23,1500.0,1500.0,1452.0,1548.0,-48.0,,14.0,
2021,2021-09-04,USC,San Jose State,W,23,1500.0,1500.0,1548.0,1452.0,48.0,,,
2021,2021-09-04,Fresno State,Oregon,L,-7,1500.0,1500.0,1466.7289353331225,1533.2710646668775,-33.27106466687737,,11.0,
2021,2021-09-04,Oregon,Fresno State,W,7,1500.0,1500.0,1533.2710646668775,1466.7289353331225,33.27106466687737,,,
2021,2021-09-10,Boise State,UTEP,W,41,1500.0,1500.0,1548.0,1452.0,48.0,,,0.0
2021,2021-09-10,UTEP,Boise State,L,-41,1500.0,1500.0,1452.0,1548.0,-48.0,,,
2021,2021-09-10,Coastal Carolina,Kansas,W,27,1500.0,1500.0,1548.0,1452.0,48.0,19.0,,
2021,2021-09-10,Kansas,Coastal Carolina,L,-27,1500.0,1500.0,1452.0,1548.0,-48.0,,,
2021,2021-09-11,Notre Dame,Toledo,W,3,1500.0,1500.0,1522.1807097779183,1477.8192902220817,22.18070977791825,7.0,,0.0
2021,2021-09-11,Toledo,Notre Dame,L,-3,1500.0,1500.0,1477.8192902220817,1522.1807097779183,-22.18070977791825,,,
2021,2021-09-11,BYU,Utah,W,9,1500.0,1500.0,1536.8413614879048,1463.1586385120952,36.841361487904734,,18.0,0.0
2021,2021-09-11,Utah,BYU,L,-9,1500.0,1500.0,1463.1586385120952,1536.8413614879048,-36.841361487904734,,,
2021,2021-09-11,Massachusetts,Boston College,L,-17,1500.0,1500.0,1453.7540518736614,1546.2459481263386,-46.24594812633863,,,0.0
2021,2021-09-11,Boston College,Massachusetts,W,17,1500.0,1500.0,1546.2459481263386,1453.7540518736614,46.24594812633863,,,
2021,2021-09-11,Rutgers,Syracuse,W,10,1500.0,1500.0,1538.3663243647738,1461.6336756352262,38.36632436477393,,,0.0
2021,2021-09-11,Syracuse,Rutgers,L,-10,1500.0,1500.0,1461.6336756352262,1538.3663243647738,-38.36632436477393,,,
2021,2021-09-11,San Diego State,Arizona,W,24,1547.111023666663,1500.0,1588.6419940734586,1458.4690295932044,41.530970406795674,,,0.0
2021,2021-09-11,Arizona,San Diego State,L,-24,1500.0,1547.111023666663,1458.4690295932044,1588.6419940734586,-41.530970406795674,,,
2021,2021-09-11,Navy,Air Force,L,-20,1500.0,1500.0,1452.0,1548.0,-48.0,,,0.0
2021,2021-09-11,Air Force,Navy,W,20,1500.0,1500.0,1548.0,1452.0,48.0,,,
2021,2021-09-11,South Alabama,Bowling Green,W,3,1500.0,1500.0,1522.1807097779183,1477.8192902220817,22.18070977791825,,,0.0
2021,2021-09-11,Bowling Green,South Alabama,L,-3,1500.0,1500.0,1477.8192902220817,1522.1807097779183,-22.18070977791825,,,
2021,2021-09-11,Colorado,Texas A&M,L,-3,1500.0,1500.0,1477.8192902220817,1522.1807097779183,-22.18070977791825,,5.0,
2021,2021-09-11,Texas A&M,Colorado,W,3,1500.0,1500.0,1522.1807097779183,1477.8192902220817,22.18070977791825,,,
2021,2021-09-11,Michigan,Washington,W,21,1500.0,1500.0,1548.0,1452.0,48.0,,,0.0
2021,2021-09-11,Washington,Michigan,L,-21,1500.0,1500.0,1452.0,1548.0,-48.0,,,
2021,2021-09-11,Akron,Temple,L,-21,1500.0,1500.0,1452.0,1548.0,-48.0,,,0.0
2021,2021-09-11,Temple,Akron,W,21,1500.0,1500.0,1548.0,1452.0,48.0,,,
2021,2021-09-11,Arizona State,UNLV,W,27,1500.0,1500.0,1548.0,1452.0,48.0,25.0,,
2021,2021-09-11,UNLV,Arizona State,L,-27,1500.0,1500.0,1452.0,1548.0,-48.0,,,
2021,2021-09-11,Ohio State,Oregon,L,-7,1500.0,1533.2710646668775,1471.0016981197698,1562.2693665471077,-28.99830188023016,3.0,11.0,-1.0
2021,2021-09-11,Oregon,Ohio State,W,7,1533.2710646668775,1500.0,1562.2693665471077,1471.0016981197698,28.99830188023016,,,
2021,2021-09-11,Nebraska,Buffalo,W,25,1500.0,1500.0,1548.0,1452.0,48.0,,,0.0
2021,2021-09-11,Buffalo,Nebraska,L,-25,1500.0,1500.0,1452.0,1548.0,-48.0,,,
2021,2021-09-11,Texas,Arkansas,L,-19,1500.0,1500.0,1452.068283623136,1547.931716376864,-47.931716376863854,15.0,,-4.0
2021,2021-09-11,Arkansas,Texas,W,19,1500.0,1500.0,1547.931716376864,1452.068283623136,47.931716376863854,,,
2021,2021-09-11,Uconn,Purdue,L,-49,1500.0,1500.0,1452.0,1548.0,-48.0,,,0.0
2021,2021-09-11,Purdue,Uconn,W,49,1500.0,1500.0,1548.0,1452.0,48.0,,,
2021,2021-09-11,Illinois,Virginia,L,-28,1466.7289353331225,1500.0,1423.31150345921,1543.4174318739126,-43.417431873912626,,,0.0
2021,2021-09-11,Virginia,Illinois,W,28,1500.0,1466.7289353331225,1543.4174318739126,1423.31150345921,43.417431873912626,,,
2021,2021-09-11,Miami (OH),Minnesota,L,-5,1500.0,1500.0,1471.3318484923511,1528.6681515076489,-28.66815150764888,,,0.0
2021,2021-09-11,Minnesota,Miami (OH),W,5,1500.0,1500.0,1528.6681515076489,1471.3318484923511,28.66815150764888,,,
2021,2021-09-11,Virginia Tech,Middle Tennessee,W,21,1500.0,1500.0,1548.0,1452.0,48.0,21.0,,-5.0
2021,2021-09-11,Middle Tennessee,Virginia Tech,L,-21,1500.0,1500.0,1452.0,1548.0,-48.0,,,
2021,2021-09-11,Stanford,USC,W,14,1500.0,1548.0,1546.7282863230391,1501.2717136769609,46.7282863230391,,14.0,0.0
2021,2021-09-11,USC,Stanford,L,-14,1548.0,1500.0,1501.2717136769609,1546.7282863230391,-46.7282863230391,,,
2021,2021-09-11,Oklahoma State,Tulsa,W,5,1500.0,1500.0,1528.6681515076489,1471.3318484923511,28.66815150764888,23.0,,
2021,2021-09-11,Tulsa,Oklahoma State,L,-5,1500.0,1500.0,1471.3318484923511,1528.6681515076489,-28.66815150764888,,,
2021,2021-09-11,Memphis,Arkansas State,W,5,1500.0,1500.0,1528.6681515076489,1471.3318484923511,28.66815150764888,,,
2021,2021-09-11,Arkansas State,Memphis,L,-5,1500.0,1500.0,1471.3318484923511,1528.6681515076489,-28.66815150764888,,,
2021,2021-09-11,Northern Illinois,Wyoming,L,-7,1500.0,1500.0,1466.7289353331225,1533.2710646668775,-33.27106466687737,,,0.0
2021,2021-09-11,Wyoming,Northern Illinois,W,7,1500.0,1500.0,1533.2710646668775,1466.7289353331225,33.27106466687737,,,
2021,2021-09-11,Georgia Southern,Florida Atlantic,L,-32,1500.0,1500.0,1452.0,1548.0,-48.0,,,
